,0
Stiftschule Einsiedeln Rektorat,
Zwingliverein Schweiz. Landesmuseum,
Croix-Rouge suisse Domaine formation professionnelle,
Laboratoire ACEPSA,
Alimentarium Musée de l'alimentation,
Büro Z Arbeitsgemeinschaft für Wohnen + Stadtfragen,
Archäologischer Dienst Graubünden Schloss,
Kommission für das Mittellateinische Wörterbuch der SAGW,
Gesellschaft für Schweizerische Kunstgeschichte,
BAK Konjunkturforschung Basel AG,AG
Basler Denkmalpflege Museum kleines Klingental,
Direction de l'instruction publique et des affaires culturelles,
AO Research Institute ,
Erziehungsdirektion des Kantons Appenzell A.Rh.,
Société d'études töpffériennes,
Addiction Info Suisse,
Curatorium pour la biographie de W. Rappard,
Laténium Parc et musée d'archéologie de Neuchâtel,NE
Zentralbibliothek Zürich,ZH
Archives de l'Etat de Neuchâtel,NE
Biotechnologie Institut Thurgau ,TG
Aargauer Kantonsschule Baden,AG
Musée d'art et d'histoire de Fribourg,FR
Bernisches Historisches Museum,
Musée de zoologie Palais de Rumine,
Staatssekretariat für Wirtschaft (SECO),
Zentrum für Sprachstörungen,
Schweizerische Kommission für Mole- kularbiologie/ Prof. Angela Krämer Biologie Cellulaire/ Science III,
Interkant. Hochschule für Heilpädagogik ZH ,ZH
Schweiz. Gesellschaft für Ur- und Frühgeschichte,
Schweizerische Konferenz der kantonalen Erziehungsdirektoren EDK,
Physikal.,
Eidg. Anstalt für Wasserversorgung ,
Fachhochschule Kalaidos ,
Foundation for Research on Information Technologies in Society (IT'IS),
Bundesamt für Veterinärwesen Bibliothek,
WDA Forum AG,AG
"Stiftung ""Pro Innerrhoden""",
Rechtswissenschaftliches Institut Universität Zürich,ZH
"Eidg. Forschungsanstalt für Wald,Schnee,Land ",
Wasser- und Energiewirtschaftsamt des Kantons Bern,BE
Bibliothèque de Genève Département des périodiques,
Schweizer Paraplegiker Forschung ,
cfd - Migrationspolitik und Friedenspolitik,
Verein politikinitiativen Zürich c/o PIN,
Kantonsschule Zürcher Oberland Lehrer- und Lehrerinnenzimmer,
Chartularium Sangallense Stadthaus,
Museo di Valmaggia,
Kuratorium für das Corpus der römischen Meilensteine,
MeteoSuisse,
Stadtbibliothek Schaffhausen,SH
Schweiz. Arbeitsguppe für kardiale Rehabilitation der Schweiz. Gesell- schaft für Kardiologie,
Kommission für die Schweiz. Kunst- und Kulturdatenbank der SAGW,
Ecole Suisse d'archéologie en Grèce  Univ. de Lausanne,VD
SVIL Schweizerische Vereinigung Industrie und Landwirtschaft,
Kommission für das Corpus Vasorum Antiquorum Antikenmuseum,
Fonoteca Nazionale Svizzera,
Wessenbergkommission,
"Fraueninformationszentrum für Frauen aus Afrika, Asien und Lateinamerika",
Berner Fachhochschule ,
Forschungsinstitut für Opthalmologie ,
Commissione scientifica del VDSI,
Amt für Archäologie des Kantons Thurgau,TG
Swiss Clinical Trial Organisation (SCTO),
Bibliothèque cantonale universitaire,FR
Staatsarchiv des Kantons Bern,BE
The Robots Podcast Association,
Departement Umweltsystemwissenschaften ETH Zürich,ZH
Gymnase cantonal de la Cité,
"Kanton. Aufsichtsstelle Datenschutz Justiz-, Polizei- und Militärdirektion",
EPF Lausanne ,VD
Bibliothèque publique et universitaire,
Albrecht von Haller-Stiftung,
Zentral- & Hochschulbibliothek,
Geneva Centre for the Democratic Control of Armed Forces (DCAF),GE
Schweizerische Bauernhausforschung,
Staatsarchiv Graubünden,GR
Pädagogische Hochschule Schwyz ,SZ
Französisches Etymologisches Wörterbuch,
Lia Rumantscha,
Museum zu Allerheiligen,
Justizdirektion Nidwalden,
Kantonsarchäologie Aargau,AG
Office féderal de la justice,
Bibliothèque cantonale jurassienne,
Archives du Chapitre cathédral,
Istituto Svizzero di Roma ,
Societa Retorumantscha Dicziunari Rumantsch Grischun,
Verein NGL-SAA Neue Galerie Luzern - Swiss Academic Association,
Monuments historiques et archéologie du canton de Vaud,VD
Association Pro Vistiliaco,
Schweiz. Stiftung für die Photographie Kunsthaus,
Schweizerische Vogelwarte,
Département de Biologie Cellulaire Faculté des Sciences Université de Genève,GE
Fondation Hardt pour l'étude de l'Antiquité classique,
Ispettorato forestale cantonale,
Stiftung für eine Historisch-Kritische Gottfried Keller-Ausgabe,
"Haute école pédagogique BE, JU, NE ",NE
Kantonsschule Riesbach,ZH
Schweizerischer Juristenverein,
Forum Ost-West,
Direction des Musées cantonaux du Valais,VS
Eidg. Hochschulinstitut für Berufsbildung ,
Denkmalpflege für bundeseigene Bauten c/o Amt für Bundesbauten,
Archäologischer Dienst Graubünden Amt für Kultur,
Schweiz. Koordinationsstelle für Bildungsforschung (SKBF),
Staatsunabh. Theologische Hochschule Basel ,BS
Forschungsinstitut für biologischen Landbau ,
Schweiz. Osteuropabibliothek,
Office des recherches archéologiques,
Pädag. Hochschule Tessin ,TI
oikos foundation Institute for Economy and the Environment University of St.Gallen,SG
Schweizerische Arbeitsgruppe für Aerobiologie,
Kuratorium Musikinstrumente der Schweiz,
Schweizerische Rechtsquellen c/o Universität Zürich / RWI,
Institut de Microbiologie Université de Lausanne,VD
Rechtsabteilung EVED Bundeshaus Nord,
Kantonsschule Zug,ZG
Oberforstamt des Kantons Zürich Abteilung Wald,
Laboratoire de recherche et ateliers de restauration des Musées d'art et d'histoire,
"Eidg. Departement für Verteidigung, Bevölkerungsschutz und Sport",
Mittelschul- und Berufsbildungsamt Amtsleitung,
Alter Ego,
Allergie,
Musées d'art et d'histoire de Genève,GE
Rätisches Museum,
Ufficio dei beni culturali,
Hochalpine Forschungsstationen Jungfraujoch & Gornergrat Universität Bern,BE
Ente Ospedaliero Cantonale ,
Muséum d'histoire naturelle,FR
Schweizerische Gesellschaft für Geschichte Generalsekretariat,
Meinrad Lienert-Stiftung,
Archives de l'Etat de Fribourg,FR
Kantonsarchäologie St. Gallen,SG
Osservatorio Ticinese di SMA,
Archäologische Bodenforschung des Kantons Basel-Stadt,BS
BATS Fachstelle für Biosicherheits- forschung und Abschätzung von Technologiefolgen des SPP BioTech,
Site et Musée romains Fondation Pro Aventico Casa postale 237,
Bundesamt für Kultur,
